"work","title"
"http://data.carnegiehall.org/works/82630","Rachem na"
"http://data.carnegiehall.org/works/90509","Andalucía"
"http://data.carnegiehall.org/works/98189","Of You I Dream"
"http://data.carnegiehall.org/works/112208","Piano Trio in E-flat Major, Op. 12"
"http://data.carnegiehall.org/works/66598","Tale No. 2"
"http://data.carnegiehall.org/works/82759","Village Burial with Fire"
"http://data.carnegiehall.org/works/20890","Piano Trio No. 4 in E Minor, Op. 90, ""Dumky"": 5. Allegro—Meno mosso, quasi tempo primo"
"http://data.carnegiehall.org/works/36742","Les soirées musicales: 1. La promessa"
"http://data.carnegiehall.org/works/40264","Mama's Golden Gems"
"http://data.carnegiehall.org/works/51954","Fantasia in C Minor"
"http://data.carnegiehall.org/works/62571","Dedicatory Overture"
"http://data.carnegiehall.org/works/92169","Fixing a Hole"
"http://data.carnegiehall.org/works/3333","Semele, HWV 58: Act I. Your tuneful voice"
"http://data.carnegiehall.org/works/19091","The Capture of Kars"
"http://data.carnegiehall.org/works/31821","Concerto for Piano Four-Hands in C Major, Op. 153"
"http://data.carnegiehall.org/works/36498","Oh, Kay!: Overture"
"http://data.carnegiehall.org/works/65892","Oberon: O welches Glück"
"http://data.carnegiehall.org/works/68180","Elegy for Trumpet and Strings"
"http://data.carnegiehall.org/works/86190","A Slumber Song of the Madonna"
"http://data.carnegiehall.org/works/107960","Seasons"
"http://data.carnegiehall.org/works/69154","Selection"
"http://data.carnegiehall.org/works/72694","Calypso Run"
"http://data.carnegiehall.org/works/74017","Blue Sky, White Clouds"
"http://data.carnegiehall.org/works/7413","Goethe-Lieder: 14. Cophtisches Lied I"
"http://data.carnegiehall.org/works/41544","Sonata for Violin and Piano in A Major"
"http://data.carnegiehall.org/works/80131","Black is Black"
"http://data.carnegiehall.org/works/110700","Kompositionen, Op. 79c: 3. Volkslied"
"http://data.carnegiehall.org/works/1359","Laudate Dominum"
"http://data.carnegiehall.org/works/60395","Patriotic Overture"
"http://data.carnegiehall.org/works/79521","Bambalelê"
"http://data.carnegiehall.org/works/10628","Siyahamba (South African)"
"http://data.carnegiehall.org/works/12286","Wake Up and Dream!: I Want to Be Raided By You"
"http://data.carnegiehall.org/works/24142","Lester Leaps In"
"http://data.carnegiehall.org/works/29642","Théone"
"http://data.carnegiehall.org/works/44946","An den Mond (unspecified)"
"http://data.carnegiehall.org/works/69723","The Rising of the Moon: Atalanta's scene"
"http://data.carnegiehall.org/works/6903","Halluyo"
"http://data.carnegiehall.org/works/25608","Clairières dans le ciel: 3. Parfois, je suis triste"
"http://data.carnegiehall.org/works/38539","Symphony No. 3 in A Minor: 1. Moderato assai"
