,composer,composerLabel
369,http://data.carnegiehall.org/names/1005559,Roy H. Milligan
370,http://data.carnegiehall.org/names/1005540,Ed Huckeby
371,http://data.carnegiehall.org/names/1005541,[first name unknown] Slunicko
372,http://data.carnegiehall.org/names/1005542,Donato Di Veroli
373,http://data.carnegiehall.org/names/1005543,Eugène Ketterer
374,http://data.carnegiehall.org/names/1005544,Menelaos Pallandios
375,http://data.carnegiehall.org/names/1005545,Frances McCollin
376,http://data.carnegiehall.org/names/1005529,Henry Sullivan
377,http://data.carnegiehall.org/names/1005531,Maurice C. Whitney
378,http://data.carnegiehall.org/names/1005532,Perotin
379,http://data.carnegiehall.org/names/1005536,F. Flaxington Harker
380,http://data.carnegiehall.org/names/1005537,Alexander Hynsky
381,http://data.carnegiehall.org/names/1005538,Hugo Jungst
382,http://data.carnegiehall.org/names/1005521,Laurent Couson
383,http://data.carnegiehall.org/names/1005523,Bert Kaempfert
384,http://data.carnegiehall.org/names/1005524,Eduardo Angulo
385,http://data.carnegiehall.org/names/1005526,Laurence Powell
386,http://data.carnegiehall.org/names/1005527,M. Mindlin
387,http://data.carnegiehall.org/names/1005528,Baldassare Donato
388,http://data.carnegiehall.org/names/1005513,Yong Ha Yoon
389,http://data.carnegiehall.org/names/1005515,Paul Gilson
390,http://data.carnegiehall.org/names/1005516,Juan Gutierrez de Padilla
391,http://data.carnegiehall.org/names/1005518,C.F.J. Girschner
392,http://data.carnegiehall.org/names/1005519,Koji Nakano
393,http://data.carnegiehall.org/names/1005520,Ellsworth C. Phelps
394,http://data.carnegiehall.org/names/1005506,Francisco Tárrega
395,http://data.carnegiehall.org/names/1005508,José Mariano Morales-Matos
396,http://data.carnegiehall.org/names/1005509,Josep Sancho Marraco
397,http://data.carnegiehall.org/names/1005510,Alvin Curran
398,http://data.carnegiehall.org/names/1005511,Ernst Haberbier
399,http://data.carnegiehall.org/names/1005495,Francis Fogarty
400,http://data.carnegiehall.org/names/1005496,Larry Yester
401,http://data.carnegiehall.org/names/1005497,José Marraco y Ferrer
402,http://data.carnegiehall.org/names/1005502,F. Bonnaud
403,http://data.carnegiehall.org/names/1005503,Michal Spisak
404,http://data.carnegiehall.org/names/1005488,Jose Islas
405,http://data.carnegiehall.org/names/1005489,Edgar Priest
406,http://data.carnegiehall.org/names/1005490,Akira Ifukube
407,http://data.carnegiehall.org/names/1005492,Peter Sculthorpe
408,http://data.carnegiehall.org/names/1005493,Giovanni Carlo Maria Clari
409,http://data.carnegiehall.org/names/1005494,Bo Linde
410,http://data.carnegiehall.org/names/1005478,Joel Welbah
411,http://data.carnegiehall.org/names/1005479,[first name unknown] Rucker
412,http://data.carnegiehall.org/names/1005480,Vassily Kalinnikov
413,http://data.carnegiehall.org/names/1005481,Niccolò Piccinni
414,http://data.carnegiehall.org/names/1005484,Curtis Mayfield
415,http://data.carnegiehall.org/names/1005487,Sang Tong
416,http://data.carnegiehall.org/names/1005469,Mischa Sarche Zupko
417,http://data.carnegiehall.org/names/1005470,[first name unknown] Saeger
418,http://data.carnegiehall.org/names/1005471,Brian Balmages
419,http://data.carnegiehall.org/names/1005474,Allan Macbeth
420,http://data.carnegiehall.org/names/1005476,Pierre Sancan
421,http://data.carnegiehall.org/names/1005477,[first name unknown] Scheppegral
422,http://data.carnegiehall.org/names/1005458,Sean O'Loughlin
423,http://data.carnegiehall.org/names/1005459,Armas Järnefelt
424,http://data.carnegiehall.org/names/1005462,Teizo Matsumura
425,http://data.carnegiehall.org/names/1005464,Gustav Nordqvist
426,http://data.carnegiehall.org/names/1005465,E.J. Fitzhugh
427,http://data.carnegiehall.org/names/1005467,Christine Lavin
428,http://data.carnegiehall.org/names/1005448,Carlos Gardel
429,http://data.carnegiehall.org/names/1005451,Pekka Kostiainen
430,http://data.carnegiehall.org/names/1005453,Giacomo Benvenuti
431,http://data.carnegiehall.org/names/1005454,[first name unknown] Infanta
432,http://data.carnegiehall.org/names/1005455,José Pradas Gallén
433,http://data.carnegiehall.org/names/1005457,Arthur Conley
434,http://data.carnegiehall.org/names/1005439,Frank Campo
435,http://data.carnegiehall.org/names/1005440,Raffaele Calace
436,http://data.carnegiehall.org/names/1005441,Der Unverzagte
437,http://data.carnegiehall.org/names/1005443,D. T. Tang
438,http://data.carnegiehall.org/names/1005445,Theodore Stearns
439,http://data.carnegiehall.org/names/1005447,J. Becker
440,http://data.carnegiehall.org/names/1005432,Jean-François-Victor Bellon
441,http://data.carnegiehall.org/names/1005433,[first name unknown] Isenmann
442,http://data.carnegiehall.org/names/1005434,Juliusz Zarebski
443,http://data.carnegiehall.org/names/1005435,Fritz Lorleberg
444,http://data.carnegiehall.org/names/1005437,James Cohn
445,http://data.carnegiehall.org/names/1005438,John McGill
446,http://data.carnegiehall.org/names/1005423,Ferdinand Siebert
447,http://data.carnegiehall.org/names/1005424,Andy Vores
448,http://data.carnegiehall.org/names/1005426,Cesare Galeotti
449,http://data.carnegiehall.org/names/1005427,Frank H. Grey
450,http://data.carnegiehall.org/names/1005429,Carl Attenhofer
451,http://data.carnegiehall.org/names/1005430,He Zhan Ho
